,Control1,Control2,Control3,Control4,Control5,Control6,Patient1,Patient2,Patient3,Patient4,Patient5,Patient6
MGST1,3.5946,5.1861,12.079,27.4303,3.089,15.8523,23.6829,7.8892,11.8164,20.2334,25.9812,5.0928
CRY1,4.7154,5.6818,3.714,4.1506,8.304,5.1872,5.271,5.8525,5.1857,5.1582,5.2492,3.643
PGLYRP1,0.6028,0.0974,0.3677,0.0837,0.2785,0.0954,0.1539,0.3577,0.4506,0.0765,0.0988,0.266
NFIX,59.5506,28.7478,11.9154,44.8233,22.2283,18.9307,37.9532,18.3923,5.8287,11.7666,13.0099,30.1658
ST3GAL1,3.7961,3.3452,13.0213,9.656,11.02,17.8945,4.499,10.9798,6.4658,4.738,2.9365,16.2318
MMP25,0.6809,1.387,1.0994,0.3442,0.9259,0.2413,1.7564,1.6491,0.8343,0.4368,0.7539,1.752
IL32,17.3782,46.0994,91.6234,4.0434,21.4077,48.8003,196.4037,66.5933,15.4814,50.9585,66.9662,36.5003
PKD1,10.071,5.1115,1.1168,2.7854,3.1154,7.933,6.9814,3.3022,1.7366,3.8407,1.8281,9.3834
MAPK8IP2,1.0099,5.2568,0.5971,0.3273,1.8637,1.2809,0.1828,1.8036,0.7217,4.695,0.5798,0.3762
MED24,5.8292,14.2041,12.7043,11.3781,68.4667,16.11,13.6882,31.9838,47.66,23.6011,9.9221,12.7374
RHOBTB2,3.871,3.3713,1.3362,0.935,2.7032,7.3373,2.1619,2.3132,3.4437,2.4082,1.2066,4.3383
HEATR5B,2.3963,7.1522,4.0183,3.3467,5.1031,3.6152,5.9928,8.2138,7.5163,3.2391,7.7652,10.4999
SEC62,43.4498,55.1593,40.3913,21.919,29.5009,41.5678,23.8973,26.6341,15.1376,22.7882,20.5924,28.6116
RPS20,155.2919,59.5207,545.6701,98.6471,46.2759,76.1966,96.0254,80.9802,204.3767,105.3905,94.397,116.2567
CSDE1,157.5078,108.8131,54.7451,59.3538,54.8207,59.0853,94.8602,60.9058,86.5971,46.7927,95.3909,83.9525
UBE3C,8.2253,16.067,6.0322,8.1526,17.5794,10.3225,16.7465,23.4913,7.6668,6.3481,10.9662,13.5166
REV3L,3.952,5.7876,1.2603,1.9376,2.6216,2.879,5.2765,7.3643,3.4781,2.2304,3.7266,6.194
TENM1,0.1473,0.061,0.0389,0.0199,0.0325,0.0061,0.2318,0.0154,0.1614,0.0105,0.0366,0.3526
PAX7,0.0021,0,0,0,0.0019,0.0104,0.0096,0.0017,0.0026,0,0,0.0021
MASP2,0.4689,0.5702,0.2315,0.218,0.4082,0.3359,0.3328,0.1629,1.4001,0.512,0.2424,0.9638
IYD,0.6682,3.9558,2.8052,0.1144,4.5126,8.2193,2.377,0.1179,9.7412,1.1693,1.5902,3.2508
FAM76A,5.1615,3.8247,2.6383,2.0794,5.812,2.5659,3.5132,2.596,3.2492,2.1883,4.2715,3.1919
TRAF3IP3,0.0995,1.6782,0.5207,0.1427,0.5645,0.2819,1.0527,1.1322,1.8198,0.2184,1.2369,11.0292
POMT2,1.1734,1.403,0.9088,1.192,2.425,1.492,1.7518,2.053,1.317,1.9332,1.3914,1.2502
VTA1,4.4686,11.926,6.6312,7.1808,9.7384,11.7298,6.2872,10.186,20.0071,8.8506,13.2507,5.7197
MLXIPL,0.3602,1.2689,11.1119,0.2338,8.5031,0.5636,0.9636,0.0846,3.6752,0.1209,1.5004,1.4947
BAZ1B,14.8074,21.2623,11.4454,8.4983,25.8449,19.3297,24.2531,26.4388,16.6681,18.0021,22.148,26.5026
RANBP9,14.1428,15.3359,9.7509,39.171,21.212,20.786,16.7393,16.1281,19.3881,16.9469,17.0863,12.3815
ETV7,3.0095,13.8791,14.1632,0.574,8.514,2.1343,17.6675,27.297,1.8812,4.237,6.2778,4.6975
SPRTN,1.3146,2.7182,2.6198,1.3275,2.1661,6.1713,2.0324,2.7888,4.8839,2.6636,2.5116,1.8769
METTL13,3.3095,12.8884,5.966,3.3766,8.2067,11.6976,10.1151,15.4555,10.3909,11.3082,8.9311,9.2562
DYRK4,2.9995,1.5642,1.6029,1.4755,0.898,3.4558,1.9356,1.9182,1.7304,0.9577,4.0173,1.621
ZNF207,4.3166,12.955,9.73,8.1479,7.804,12.4406,9.7579,14.5824,18.2128,10.6084,15.3824,11.7293
UQCRC1,40.9461,45.9647,48.5764,35.9789,52.2717,45.3587,64.8801,54.5055,38.1692,107.2225,75.5712,26.1951
STARD3NL,5.8293,5.853,6.804,2.7678,5.4497,7.0829,5.6061,10.3808,14.6306,6.1334,7.5204,4.9591
CD9,50.1688,36.8094,47.8438,109.5171,27.4612,37.5884,24.7863,44.1559,51.4772,48.3806,61.6751,19.6696
HHATL,0.0381,0.0048,0,0,0.0085,0,0.0054,0,0.0116,0,0.0303,0.0093
NCAPD2,5.3043,20.8628,20.7442,8.1683,19.5974,20.3858,23.4785,42.509,38.4626,33.5479,24.6651,24.971
IFFO1,2.1213,2.1476,1.4366,0.4753,1.4879,1.5984,2.0779,1.5986,2.448,0.5421,2.0517,4.4097
GIPR,0.2336,1.1047,0.0881,0.3,0.214,0.1844,0.1505,0.152,0.6359,0.43,0.2278,0.767
PHF7,1.3013,0.7913,0.6523,1.0391,1.8025,0.897,1.0367,0.9884,0.9832,1.2033,1.8304,1.4276
SEMA3G,1.1183,2.2763,2.2477,1.127,4.1001,2.5143,3.1619,1.5139,1.1676,1.1481,0.9427,2.095
NISCH,9.7694,8.6067,4.0121,7.9089,11.2107,7.4551,9.8993,7.2568,9.0617,10.1991,10.192,17.7217
STAB1,3.1035,8.0501,4.3226,4.4206,10.9021,4.3984,10.0313,8.564,8.1553,2.0675,8.0441,9.7843
FUZ,3.184,3.1339,0.5542,1.3309,4.5868,3.7901,0.6379,0.5667,3.8434,3.42,0.4561,1.4304
SLC6A13,0.0973,0.0228,0.0307,0,0.0087,0.0318,0.0147,0.0156,0.1029,0.0096,0.033,0.0476
IDS,2.1477,2.9368,1.1706,2.7731,2.0302,0.9316,1.2095,0.9832,1.1706,0.5958,1.2855,3.0888
PRSS3,11.0805,10.7142,57.1876,31.9453,24.061,21.595,29.936,21.2236,41.9676,50.5325,39.6986,8.685
ZNF200,0.7491,1.0356,0.9698,0.4794,1.2048,1.9057,1.3331,1.32,1.8988,2.0186,2.0297,1.6883
CD4,3.2172,26.8032,15.6179,5.426,13.2874,4.3487,14.9437,20.0141,19.3721,4.0908,25.492,46.0248
LRRC23,2.147,0.9942,2.4739,0.6406,0.8965,3.5823,1.209,1.1363,3.3667,0.9093,1.0546,1.697
BTK,0.4092,2.9604,1.1422,0.4705,0.7893,0.4184,1.7049,1.3428,1.512,0.4172,1.9691,11.3999
HFE,1.7587,4.219,3.0116,1.5138,1.2357,2.8432,3.1138,2.588,1.3579,1.1999,2.247,1.9722
SCMH1,19.0658,11.0752,10.7392,7.2744,7.0893,11.0116,13.3808,3.7929,13.7879,14.3022,7.1158,11.7069
FYN,7.2759,7.5073,7.3349,2.3078,10.8495,4.2496,4.8381,3.148,7.2744,5.7488,4.9614,14.1711
HIVEP2,3.3256,7.1219,2.3667,5.9758,6.7389,7.0633,6.0566,3.4243,4.4893,5.4038,4.9432,16.5026
FMO1,0.1949,1.053,0.5628,0.795,0.7801,1.7162,0.7694,0.0886,10.4549,0.1353,0.811,2.689
ELOA,6.5396,9.4147,7.6617,10.7923,11.8879,7.7738,11.9243,10.5522,9.4147,19.349,8.79,13.2178
LYPLA2,10.8644,25.407,38.1787,30.2933,31.6255,33.339,37.8938,40.4651,23.7511,93.1585,25.8535,26.7249
CLCN6,2.892,6.1003,1.9296,1.5513,8.14,3.8781,2.3145,1.6865,4.2503,4.31,2.7524,4.7667
MRC2,9.002,11.6869,5.7673,11.8687,17.4967,38.7146,15.4909,5.7863,8.6201,5.3096,12.4392,12.9747
NME1-NME2,0,0,0,0,0,0,0,0,0,0,0,0
SLC6A7,0.0097,0.0516,0.3522,0.0092,0.17,0.0263,0.0655,0.0051,0.5613,0.1329,1.2474,0.1415
TSPAN9,6.1584,3.066,4.7375,5.0052,6.2685,8.618,3.9255,5.3749,5.9839,1.9783,3.3617,4.8179
BTBD7,3.4886,3.6631,3.0702,2.79,4.325,6.6159,6.4594,3.508,4.7259,5.2226,4.49,4.9593
APBA3,1.6777,5.3186,2.2997,2.0046,2.1231,2.9618,3.6613,2.6836,2.1842,3.5006,1.7974,4.9184
MKS1,0.4806,1.183,1.0003,0.5163,1.6098,1.1325,1.0168,1.2351,0.8703,1.0509,1.4493,0.9763
ABHD5,4.1432,2.8905,1.6083,5.5483,2.4211,2.5808,4.3615,3.0872,3.8906,3.5969,5.3296,2.052
ANOS1,0.3829,1.6807,1.0898,1.0374,2.9741,7.0973,2.6183,1.1426,2.0839,0.9539,9.171,3.6604
AKAP8L,3.2227,4.6734,2.867,3.0952,5.6758,3.7045,3.1205,3.4011,7.1931,3.6997,4.6495,6.9023
MBTD1,2.4413,6.3124,3.9218,1.9958,6.5654,4.0578,2.9538,7.1876,28.5027,3.36,4.0006,4.7637
UTP18,2.7196,12.9654,7.0934,5.0707,10.7698,10.7015,11.6003,32.9843,49.5856,11.77,14.535,10.4463
RNF216,8.5402,9.157,4.9193,4.3847,11.4054,11.4856,9.9792,10.5737,13.4696,5.1268,7.3424,13.4701
TTC19,4.35,8.5203,6.7028,5.2391,6.3211,5.5536,10.7059,7.3216,8.6193,6.684,17.4895,7.7639
PTBP1,18.375,62.8113,61.1049,43.9442,92.5842,54.812,50.3624,72.4069,51.922,67.9458,48.028,48.9013
DPF1,0.109,0.0546,0.4611,0.1563,0.1258,0.1361,0.2173,0.3945,0.3953,0.1297,0.051,0.1261
SYT7,0.3901,0.4036,9.993,5.6277,1.8588,5.4003,0.2618,0.0802,8.8971,0.3926,0.3961,0.586
LARS2,0.8555,2.1921,1.5903,1.1668,4.9042,1.8132,3.1999,4.4866,2.6131,3.5528,4.6301,2.4005
PIK3C2A,10.4592,19.3544,12.7536,6.9908,16.4636,14.1138,13.2515,17.1078,25.2243,9.0974,12.0113,16.0539
PLAUR,9.9424,13.7177,7.3312,6.8194,22.6139,19.4929,12.439,14.6187,8.7281,20.0777,28.9526,5.9218
ANLN,0.8815,8.5921,7.0084,2.348,12.7541,11.2898,12.7807,18.59,14.5329,18.7054,18.3879,4.5604
WIZ,9.2936,10.4048,4.7674,8.5042,13.8595,10.6943,9.144,7.7212,4.667,11.1479,5.1935,13.7659
RABGAP1,14.7875,6.8636,4.2946,7.8884,13.7847,11.5774,10.1861,9.4206,9.5,5.8106,7.124,9.3548
DCN,67.5382,26.7314,22.1179,31.6422,27.7091,29.6576,21.666,4.9735,43.8943,6.3731,50.566,50.7043
QPCTL,2.1539,4.306,2.8768,3.6842,7.434,3.5194,2.2761,5.9004,2.5199,4.6964,3.4799,2.6238
PPP5C,4.6644,8.1421,3.274,5.5857,13.6615,9.5459,7.0366,19.258,13.2676,9.4035,8.3156,6.9776
CEP68,5.0017,4.3713,2.4716,2.6109,5.2468,3.5008,3.0333,1.9892,2.4163,2.0708,1.7669,7.2964
MAP4K3,9.013,8.431,8.6751,3.3948,11.7832,7.9093,7.7125,7.9555,15.2313,5.9531,11.2129,8.4477
ZBTB32,0.0503,0.6093,0.3395,0.2163,0.36,0.1727,0.3069,0.9004,0.4413,0.2718,0.166,1.1836
TYROBP,24.5726,83.6796,101.4739,24.9098,32.2042,22.1098,58.2074,92.5931,72.7109,19.8816,149.2738,55.3963
TMEM159,24.8792,7.4298,2.8717,13.8662,7.1789,8.1829,6.3115,15.0339,7.3774,6.5414,7.5358,12.816
GABRA3,0.0232,0,0.8469,1.1326,0.0653,0.019,0.0375,0.0053,3.281,0.0033,0.2276,0.0357
BRCA1,0.7012,3.9274,2.7058,0.8383,5.8338,3.2753,4.7664,11.5977,4.4761,3.1656,3.797,2.0368
ERCC1,5.6102,4.0201,7.3754,7.673,5.5311,7.8343,4.0996,5.3814,5.8093,6.4934,4.8508,5.3882
CD22,0.1049,1.8099,0.4404,0.3332,0.4658,0.6173,2.7148,0.3447,0.4766,0.1735,0.2951,35.8292
SEMA3B,10.3532,5.3226,1.3606,6.0878,31.7772,12.7492,12.2489,3.3995,3.979,28.5805,2.3988,2.6727
MBTPS2,2.1746,4.88,2.0874,1.6294,6.0073,4.2886,3.6272,4.0063,5.0096,2.1794,3.475,3.877
PRICKLE3,2.1199,8.3182,3.2809,8.67,5.1375,7.296,6.5154,4.481,1.9379,10.0572,4.0095,7.7638
LTF,0.8075,1.9535,1.0769,13.0408,0.7415,11.7226,10.7253,9.5717,0.7997,0.9639,0.2982,12.1843
EXTL3,5.0354,3.7149,1.1019,3.9329,3.1307,3.7095,7.2975,3.8373,3.5674,3.248,2.4631,4.435
NR1H4,0.96,0.1445,1.1533,0.0109,1.6408,0.301,0.0257,0.1092,5.9651,0.1567,0.0916,0.9604
ELOVL5,24.348,10.1858,8.9449,13.3423,7.5344,26.7333,9.7872,4.1001,30.7212,4.2535,14.2628,25.2818
ALOX5,1.3139,6.297,21.1747,5.5065,13.0647,2.0135,6.4905,4.1235,8.3812,2.1632,6.3217,18.7936
KDM5D,4.0543,2.1804,0.0314,2.3771,1.0341,1.1399,0.0033,3.2844,1.7334,0.0114,0.0129,0.0014
CALCOCO1,21.692,9.08,11.0897,5.8773,8.794,4.3784,5.9857,3.7342,8.106,4.7546,8.7069,7.8555
UBR7,6.94,7.7548,6.9375,6.4668,11.0004,10.9806,13.1996,11.9698,7.4354,14.3328,17.637,10.5656
MAP4K5,4.1027,5.2109,3.4729,5.2976,6.5311,7.0351,5.7658,4.7131,7.1807,5.9891,9.0837,5.3986
EHD3,3.7404,1.9552,2.594,28.7296,2.3576,4.4385,2.5975,1.5927,2.5158,0.9287,2.1281,6.5352
PSMC4,19.6667,38.2498,45.1361,23.9005,33.228,40.4158,34.9354,73.0137,52.62,40.0248,45.7478,25.9814
MAN2B2,4.8454,14.4301,5.6289,8.0473,7.6342,18.0708,10.0486,10.4805,7.5008,9.3322,10.0615,17.1834
SLC7A14,0.3043,0.0039,0.0124,0.0188,0.0012,0.0032,0.0148,0.001,0.0144,0.0026,0.0083,0.0205
CLDN11,0.5766,0.7916,0.2927,2.0567,0.3679,0.6436,0.2955,0.0917,0.9481,0.0877,1.2469,1.4726
SLC25A39,12.3645,38.8257,40.9177,46.1974,43.538,44.215,42.5914,103.8458,34.9311,75.3576,43.7559,22.3264
MVP,23.0243,33.2773,27.9031,22.962,94.5386,47.78,37.0322,58.297,15.2092,41.1586,22.1724,52.622
NUB1,10.6674,20.1668,18.518,5.8142,15.0419,9.6616,22.5549,27.1448,9.9446,5.9296,13.7974,16.2566
PGM3,1.9164,8.6168,4.4366,2.5195,5.3926,11.6015,8.89,7.0625,16.0754,6.2838,11.069,4.0188
RWDD2A,1.8335,1.987,1.6382,1.0899,1.6186,2.6379,2.7883,1.7848,5.1451,1.6918,3.2256,1.8346
CLK1,13.0712,14.6964,13.4784,8.1824,12.141,11.5908,11.7806,10.7925,24.4859,14.9861,35.1506,27.9871
POLR3B,1.1635,5.036,2.2661,2.3568,2.5745,2.5363,3.422,4.8768,4.8594,3.6628,4.0723,2.8863
ANGEL1,2.5423,4.7242,4.7626,2.8905,8.5828,4.2571,5.7861,6.1334,4.8271,4.7264,3.8175,5.5747
RNF14,8.3706,6.8545,4.3696,3.5832,4.7168,6.8692,6.8668,4.75,6.3819,7.7841,6.344,9.8762
DNASE1L1,1.1527,2.1062,1.0082,3.6325,2.9081,3.4635,2.2155,1.4868,1.3084,3.9546,1.1811,3.7472
DDX11,0.2731,3.1946,3.7541,0.6892,23.3058,2.9095,3.3698,6.2595,3.1544,6.0239,3.4349,5.5179
HEBP1,21.0428,5.3349,13.389,8.0426,5.9897,9.7751,9.6193,2.1904,17.9894,3.345,10.1852,8.1624
GPRC5A,6.9702,43.5124,24.0308,49.9466,110.9501,76.4876,117.7591,59.4348,23.4456,93.2292,124.4809,73.4567
MAMLD1,1.3309,1.1135,0.7616,1.0276,1.3487,1.0999,3.8752,0.4398,1.5583,0.4953,2.1873,1.9892
CD6,0.2888,4.2362,2.3878,0.4044,2.2382,0.5991,3.0495,5.139,2.8856,0.7203,2.5631,22.0525
TACC3,0.5684,7.0426,10.6911,2.0217,10.4953,10.2501,8.0317,12.8106,5.4228,19.1775,8.1351,8.9562
UFL1,12.6804,24.5789,15.8519,10.6687,19.2621,11.096,17.8121,19.2712,21.2836,11.6948,19.6968,12.2194
POLA2,0.2992,0.9809,1.5999,0.2022,0.5976,0.9606,1.3198,1.0144,0.6423,1.5464,0.8577,1.0075
ZC3H3,4.5801,12.5095,18.647,9.9569,19.045,24.0385,19.0375,20.2648,5.4777,28.8333,9.6088,14.3995
CAPN1,18.1311,32.8226,30.1552,88.0824,33.4074,47.7781,35.4459,54.8959,29.4765,41.3464,21.615,30.541
ACPP,0.669,2.9292,0.1912,14.3736,0.7976,1.2522,0.4256,6.4592,0.3256,6.1237,0.1962,1.2069
MDH1,21.0934,21.7328,15.0789,12.9736,14.6635,24.9564,20.2083,30.7367,23.9897,42.0601,31.7142,18.4747
SLC30A9,5.9834,18.5701,5.3293,6.8419,12.2612,15.4327,14.1913,7.974,7.5983,13.7035,10.458,9.7973
MTMR11,5.6185,14.1057,22.3555,1.9697,14.2601,15.7222,4.7129,22.017,13.242,17.8257,25.9326,9.8715
COX15,4.5456,4.8239,6.6115,3.2,6.102,4.2901,8.9144,7.8134,8.0712,7.7879,10.1969,6.5985
CCDC88C,0.8774,7.7351,3.9062,3.3297,7.7978,10.1986,8.7166,7.4612,4.6953,9.7673,4.7328,16.332
YAF2,1.6015,2.0626,2.0091,0.9511,1.2712,1.0617,1.5068,1.3865,1.8727,1.1428,2.148,1.6482
ZMYND11,28.4681,21.4689,9.7648,9.3943,20.6868,15.9159,21.083,13.6086,9.9192,11.255,21.2636,20.2277
WAS,2.2098,9.0253,5.7737,1.5726,3.5966,2.7279,10.432,7.5776,6.3858,1.9209,7.357,35.1151
DPEP1,1.8006,0.7156,7.8071,0.2237,11.6266,0.2304,0.1138,0.7039,16.4459,0.0445,3.0805,1.6023
BID,1.6102,6.1658,17.6167,2.9981,7.9134,8.562,7.4216,9.4355,7.8515,17.235,9.5456,5.9318
NPC1L1,15.3605,2.9852,10.8574,0.7199,8.4519,1.334,0.0414,1.2835,9.1135,5.7524,1.2587,4.2321
XYLT2,4.3925,9.6105,2.831,5.1791,8.6849,10.6157,6.3562,13.1545,10.073,4.9902,3.12,8.9559
RGPD5,0.0136,0.0107,0.0144,0.0125,0.0156,0.0143,0.0099,0.0155,0.0189,0.0162,0.0049,0.0256
STMN4,0.5015,0.0084,0,0.024,0,0,0.0236,0.01,0.0153,0.0082,0.0159,0.0163
NUDCD3,7.1579,8.0984,9.5645,8.7577,8.9011,9.1052,9.8311,10.7337,8.27,8.0642,7.0337,11.8777
ISL1,2.3212,0.6805,1.9277,0.2103,0.0788,0.6835,3.3603,0.7465,1.794,0.149,1.2109,3.0467
CHDH,0.769,9.5572,7.2339,1.5826,21.4505,3.0192,8.7431,5.1634,4.2518,8.3328,1.4175,6.0913
IL20RA,1.3592,4.5196,0.1691,2.9311,2.689,3.9683,3.1895,2.3975,1.1962,1.9405,3.3986,0.7082
CLCA1,3.9676,0.0292,12.2651,0.1432,18.9113,0.0408,0,0.01,0.2435,2.1718,0.037,0.5609
CLCA4,0.028,0.012,0.0108,225.0168,1.1477,0.0751,0.0677,0.1501,1.0375,0.0628,0.1116,0.0429
GLT8D1,5.6113,8.8775,9.4878,6.4317,12.5885,11.0514,10.013,6.6122,8.0552,11.1224,15.4579,9.9106
ATP2C1,6.1163,20.2764,9.2854,6.2729,15.082,8.3303,13.1393,41.7424,10.1723,27.5119,16.1173,12.0233
IGF1,0.1934,0.2787,0.0963,0.9735,0.1671,0.1415,1.178,0.1072,0.1945,0.025,0.2242,1.2234
SLC38A5,0.3906,1.1945,3.0779,1.9317,0.457,2.8472,0.6703,10.6672,19.4177,2.18,1.2495,1.1986
RALBP1,10.5048,26.2015,19.3487,14.7659,17.453,15.5334,14.2155,8.7012,12.5696,38.8547,9.9655,12.579
RUFY3,3.7207,3.1954,2.8177,3.028,4.559,3.3821,4.9248,2.0427,4.1487,5.2122,4.6498,5.8715
CNTN1,13.0183,0.1822,0.0149,1.6133,0.2139,1.0039,0.3844,0.0206,0.4034,0.1012,1.1441,3.2428
SLC11A1,0.5776,0.6359,0.881,0.9174,0.6819,1.2848,0.7357,0.1561,0.4451,1.4808,1.7158,0.307
WWTR1,36.7235,8.4225,6.9842,15.3209,16.0841,16.5411,14.5717,4.1215,8.4138,7.1069,9.8069,8.6499
AGPS,3.8858,7.1761,4.532,4.1201,9.7199,6.7579,10.593,13.0562,14.9944,11.0782,12.6656,5.3633
ZNF806,0.0053,0,0.0036,0,0.0048,0.0109,0.006,0.0064,0.0651,0.0026,0.0068,0.0287
CXORF56,5.051,9.4583,7.5945,2.9689,5.8495,6.7183,7.2385,7.6782,4.8072,4.5109,11.3115,4.8576
ATP1A2,41.7115,0.3066,0.2392,1.9661,0.3092,0.0912,3.2656,0.0157,0.3012,0.0838,0.4722,0.2691
TTC27,2.1311,6.6176,5.234,3.0688,4.8074,3.8263,5.7383,12.3207,8.9628,5.0173,8.4744,6.0678
ZNF582,0.6287,0.1811,0.0833,0.1592,0.114,0.1647,0.237,0.0756,0.1554,0.0485,0.1201,0.8232
VSIG2,38.3207,65.6431,30.2154,19.1351,4.7782,4.0775,26.2099,11.0553,4.061,59.1201,2.9134,25.3335
PHLDB1,2.4096,2.8594,1.2427,0.9686,2.9076,4.0611,2.784,1.1676,2.2097,1.4252,3.2496,4.4765
MARCO,0.6026,1.7182,1.9053,1.9664,0.3616,0.2816,0.2022,0.0794,0.323,1.4326,0.9928,1.2424
CYP24A1,0,0.0173,0.0466,0.9062,0.9797,0.3078,0.0312,0.0193,0.4884,0.1256,0.0132,0.0573
PRDM11,2.1281,1.029,0.7271,0.8415,1.1043,1.3045,0.9393,0.7377,3.9553,1.1304,0.5195,1.849
SYT13,0.7585,12.3229,4.4127,1.5379,48.6872,1.9769,4.0059,59.0439,2.5284,2.1432,0.4626,24.4316
SNAI2,1.351,1.5427,3.5482,8.9326,2.5243,11.0229,2.6336,0.9027,2.968,2.0961,8.7382,7.0644
CD74,132.5092,1721.8363,418.0718,223.6791,472.9181,264.1794,1022.2828,1855.8073,486.5594,212.5754,775.3681,1338.9113
HGF,0.415,1.5881,1.2375,0.5953,0.8694,0.2932,1.0392,0.4482,1.1327,0.1846,1.286,2.8896
ZRANB1,2.8943,2.3773,1.5236,2.6792,3.9937,4.6519,2.7329,2.6436,3.5803,2.7785,2.2562,3.1762
NCDN,5.5854,6.6197,4.0243,3.5145,6.6924,8.1683,7.8209,5.8105,3.9267,13.0011,4.2975,9.8902
ADGRA2,9.1412,10.0773,5.4946,7.6611,19.9274,22.0521,8.7515,3.4813,6.7262,4.47,6.9461,24.3809
CCT8L1P,0,0,0.0222,0.0708,0.0147,0.0067,0.0093,0.0197,0.0702,0,0,0.1768
ZFP64,2.216,7.1377,5.5654,1.9429,10.6147,6.0295,3.6182,8.4121,6.33,7.2057,4.1477,4.7311
MNAT1,2.972,1.7929,3.1467,1.7167,2.6766,1.333,1.6384,3.0442,2.7369,2.1859,3.6275,1.3185
SAMD4A,5.946,1.5969,0.6122,2.3059,1.2801,1.7976,4.3186,0.7293,2.4354,2.1932,1.6694,1.6165
RUNX3,0.7076,5.6322,4.1449,4.2893,15.8952,5.8518,5.2539,4.1113,7.368,1.1277,3.529,21.2963
MRE11,2.2728,5.327,4.4445,1.6059,9.7678,4.5646,2.3595,4.8521,8.3772,8.3179,4.2033,4.9188
PLEKHB1,5.4752,12.5702,7.7774,5.2366,7.7775,7.0827,1.9252,2.2296,4.4926,42.4775,0.6702,4.3332
SERPINB1,49.4849,93.1447,58.8551,442.7155,48.0282,31.2442,114.9604,126.9565,33.0939,128.1203,86.888,42.8426
CYP3A43,0,0.0052,0.0282,0.03,0.0187,0.0256,0,0,0.5667,0.0051,0.0133,0.0663
SLC7A9,5.622,3.0844,1.4388,0.0912,0.3321,0.1734,0.0539,0.0424,10.5209,0.1042,0.8955,1.9883
SPAST,1.4883,5.4624,4.2467,1.5248,4.6433,2.9191,3.7884,5.1234,5.9323,1.9719,4.8763,3.9941
NRXN3,13.1635,0.4723,0.4944,0.3674,0.3927,0.9633,1.2648,0.0836,0.6269,0.0863,0.4133,0.4191
OSBPL5,6.6371,1.6001,2.1427,3.9271,4.4611,5.4754,7.1084,0.7366,2.5927,3.1069,2.4999,3.6074
AQR,2.6885,6.2054,3.9116,3.529,6.5399,4.4055,7.1846,8.1079,5.8365,5.6134,6.2163,8.5826
CPS1,3.8145,2.3421,0.9891,0.9661,7.933,63.8385,48.4984,2.701,3.7806,43.4352,4.1469,2.8607
C8B,0,0.0707,0.0068,0.0145,0.0045,0.0165,0,0.0564,0.0061,0.0099,0.0064,0.0049
FHL1,335.2556,7.463,5.3456,28.4481,6.135,6.6114,19.3774,2.7928,12.3271,2.2702,10.4203,11.1093
RTFDC1,13.6137,21.277,18.9495,7.2474,13.6047,19.3103,9.277,22.1603,25.3639,24.567,9.885,12.6345
GABRA1,0,0,0.0022,0,0,0,0,0,0.014,0,0,0.0064
NLRP2,0.314,0.4566,3.7294,0.657,0.0625,6.9542,0.2589,0.1866,0.6862,8.3956,2.0809,3.9017
SLC45A4,2.0278,5.7312,3.137,3.3474,9.7503,9.5998,8.7412,6.349,3.2143,12.3585,3.4952,4.5836
RNF10,23.9414,33.7951,18.8145,24.9745,21.7852,23.5328,28.2166,25.5649,13.9921,30.1783,17.8245,33.8839
ZNF839,0.7068,0.9992,1.1078,0.6501,1.0914,0.4955,0.7743,0.7386,0.4986,0.7265,0.9669,1.4367
ZDHHC6,6.7472,8.9457,9.9485,4.6422,15.1558,24.5923,11.9924,15.0282,12.162,14.1954,19.504,12.6304
GRAMD1B,0.8226,5.1609,0.1941,0.1996,4.6588,12.4163,0.4438,1.5722,3.0649,1.5156,0.3348,1.7896
RNH1,13.8072,18.3632,9.0312,25.1914,14.7915,11.8552,16.1748,17.1237,8.4084,13.5931,8.9526,16.9002
NDUFS1,9.8491,13.2629,6.9491,6.9676,12.2102,17.204,9.9879,10.4417,14.2946,20.7685,11.9763,9.2334
RB1CC1,8.2148,14.4225,25.3025,6.3557,10.9048,11.1887,11.8735,6.3342,12.2001,10.8511,10.1076,10.1869
ERP44,15.1491,19.2537,31.9956,17.4942,17.482,23.8122,18.3828,22.0904,30.8097,14.8755,35.6506,19.6189
ALAS1,17.6637,20.8294,11.5572,26.7814,25.9613,18.3015,24.1637,39.1677,29.8118,43.8171,30.7773,20.6241
BIRC3,6.1708,35.1184,8.9893,2.8476,9.7361,14.8617,22.322,30.3784,5.0114,35.1092,16.7874,46.7449
AKAP11,9.4037,11.8821,6.7748,3.3204,9.125,12.1046,9.8391,9.6139,14.9251,6.6796,10.5854,16.7954
GLRX2,3.2587,3.8156,2.7431,1.8159,2.3716,4.1449,3.3444,3.021,2.9442,3.3158,4.2928,3.258
SNAPC1,2.0705,1.3244,2.001,2.4829,1.2691,1.3592,1.8133,1.9574,1.541,2.3129,2.6242,1.8521
DERA,7.5511,9.7716,15.1593,8.6495,8.9466,15.5387,7.5658,14.72,30.9706,12.4889,13.8982,8.6845
STRAP,35.8417,36.2702,39.419,26.686,26.6022,71.9453,45.322,69.1349,58.0088,54.1216,60.4772,32.8625
ABCC2,0.8713,0.1302,2.392,0.0857,0.7203,0.26,0.1689,0.6561,17.2822,0.0449,0.2991,1.0145
DEF6,1.5533,9.8774,3.0719,7.2212,11.364,3.4316,9.2785,12.4441,3.9321,10.8189,4.0289,30.5872
